nops,cycles
1868,12860
1869,12917
1870,12869
1871,12923
1872,13024
1873,13098
1874,13069
1875,13122
1876,13061
1877,13046
1878,13110
1879,13101
1880,12991
1881,12995
1882,12987
1883,12971
1884,12917
1885,13048
1886,13043
1887,13045
1888,13216
1889,13215
1890,13241
1891,13254
1892,13103
1893,13107
1894,13090
1895,13112
1896,13282
1897,13285
1898,13250
1899,13253
1900,13221
1901,13269
1902,13277
1903,13258
1904,13097
1905,13095
1906,13135
1907,13120
1908,13278
1909,13280
1910,13214
1911,13233
1912,13201
1913,13189
1914,13213
1915,13164
1916,13212
1917,13299
1918,13359
1919,13413
1920,13435
1921,13454
1922,13453
1923,13383
1924,13287
1925,13304
1926,13253
1927,13387
1928,13431
1929,13442
1930,13455
1931,13447
1932,13472
1933,13435
1934,13481
1935,13427
1936,13403
1937,13324
1938,13352
1939,13413
1940,13489
1941,13495
1942,13536
1943,13454
1944,13400
1945,13385
1946,13352
1947,13406
1948,13445
1949,13580
1950,13567
1951,13572
1952,13605
1953,13599
1954,13670
1955,13476
1956,13529
1957,13550
1958,13551
1959,13632
1960,13596
1961,13554
1962,13518
1963,13554
1964,13564
1965,13589
1966,13652
1967,13671
1968,13733
1969,13703
1970,13681
1971,13696
1972,13769
1973,13764
1974,13603
1975,13606
1976,13640
1977,13680
1978,13700
1979,13593
1980,13579
1981,13746
1982,13825
1983,13867
1984,13761
1985,13797
1986,13917
1987,13935
1988,13831
1989,13795
1990,13818
1991,13760
1992,13715
1993,13591
1994,13834
1995,13863
1996,13873
1997,13829
1998,13769
1999,13839
2000,13851
2001,13934
2002,13977
2003,13972
2004,13902
2005,13890
2006,13869
2007,13824
2008,13666
2009,13875
2010,13906
2011,13972
2012,13854
2013,13981
2014,13958
2015,14004
2016,14083
2017,14149
2018,14065
2019,14016
2020,14053
2021,14105
2022,14103
2023,14172
2024,14072
2025,14152
2026,14119
2027,14035
2028,14072
2029,14201
2030,14196
2031,14068
2032,14039
2033,14023
2034,14076
2035,14164
2036,14198
2037,14162
2038,14111
2039,14113
2040,14040
2041,14130
2042,14119
2043,14192
2044,14227
2045,14253
2046,14323
2047,14338
2048,14315
2049,14260
2050,14185
2051,14170
2052,14246
2053,14346
2054,14367
2055,14347
2056,14321
2057,14226
2058,14228
2059,14256
2060,14263
2061,14398
2062,14403
2063,14319
2064,14249
2065,14224
2066,14286
2067,14491
2068,14399
2069,14367
2070,14352
2071,14364
2072,14321
2073,14422
2074,14419
2075,14398
2076,14303
2077,14388
2078,14430
2079,14457
2080,14383
2081,14483
2082,14285
2083,14460
2084,14482
2085,14574
2086,14443
2087,14472
2088,14423
2089,14489
2090,14618
2091,14584
2092,14512
2093,14436
2094,14564
2095,14568
2096,14743
2097,14548
2098,14648
2099,14624
2100,14593
2101,14664
2102,14589
2103,14681
2104,14497
2105,14617
2106,14642
2107,14622
2108,14516
2109,14664
2110,14748
2111,14789
2112,14722
2113,14789
2114,14724
2115,14730
2116,14750
2117,14753
2118,14704
2119,14827
2120,14706
2121,14806
2122,14652
2123,14758
2124,14814
2125,14747
2126,14855
2127,14756
2128,14708
2129,14824
2130,14856
2131,14835
2132,14750
2133,14852
2134,14846
2135,14929
2136,14804
2137,14902
2138,14835
2139,14860
2140,14792
2141,14806
2142,14910
2143,14967
2144,14925
2145,14879
2146,14879
2147,14869
2148,14879
2149,14896
2150,14862
2151,14901
2152,14851
2153,14912
2154,14927
2155,14949
2156,14999
2157,15039
2158,14954
2159,15068
2160,15087
2161,14950
